# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558504534539e-26       4.634785000235e-09       2.157545689086e+22       1.375807360460e+04       1.375807360460e-10       1.375807360460e+18       2.675958484264e-09       2.751560535470e+44       2.519495913428e+33       1.410239440046e+34       6.331470950076e+43       2.110490316692e+43       1.270295769850e+44       4.655003400493e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01       0.000000000000e+00       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       5.642144157833e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693964745e-26       4.667526809499e-09       2.127654274188e+22       1.375807360460e+04       1.385438011983e-10       1.366243654875e+18       2.694690193654e-09       2.675846458098e+44       2.467318679033e+33       1.381034235375e+34       6.157249276517e+43       2.052416425506e+43       1.235341324558e+44       4.526912710471e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.911503486597e-35       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       7.871483658059e-08       1.433565615564e+02 
       9.861456399050e+13       7.772375250255e-26       4.700268618762e-09       2.098176985716e+22       1.375807360460e+04       1.395136078067e-10       1.356746429866e+18       2.713553025009e-09       2.602215788102e+44       2.416222003559e+33       1.352433852805e+34       5.987821621879e+43       1.995940540626e+43       1.201348712939e+44       4.402346663389e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -3.836947535443e-35       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.574296731611e-07       7.167828077820e+01 
       9.792906056653e+13       7.881569350146e-26       4.733010428026e-09       2.069108086213e+22       1.375807360460e+04       1.404902030613e-10       1.347315223303e+18       2.732547896184e-09       2.530611196824e+44       2.366183509287e+33       1.324425766836e+34       5.823056070214e+43       1.941018690071e+43       1.168291468431e+44       4.281208272433e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -5.776993852667e-35       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.361445097416e-07       4.778552051880e+01 
       9.724832231036e+13       7.992297517946e-26       4.765752237290e-09       2.040441917711e+22       1.375807360460e+04       1.414736344827e-10       1.337949576269e+18       2.751675731457e-09       2.460976933110e+44       2.317181281925e+33       1.296997711364e+34       5.662824335475e+43       1.887608111825e+43       1.136143852744e+44       4.163403219554e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -7.732313054552e-35       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.148593463221e-07       3.583914038910e+01 
       9.657231609767e+13       8.104581305776e-26       4.800313035958e-09       2.012172900631e+22       1.375807360460e+04       1.424639499241e-10       1.328649033038e+18       2.770937461577e-09       2.393258779894e+44       2.269193861013e+33       1.270137674308e+34       5.507001661632e+43       1.835667220544e+43       1.104880835826e+44       4.048839782033e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -9.703584926391e-35       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.935741829026e-07       2.867131231128e+01 
       9.590100903443e+13       8.218442568541e-26       4.833054845221e-09       1.984295532692e+22       1.375807360460e+04       1.434611975736e-10       1.319413141051e+18       2.790334023808e-09       2.327404011992e+44       2.222200230523e+33       1.243833892351e+34       5.355466725541e+43       1.785155575180e+43       1.074478076369e+44       3.937428761062e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.169149868583e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       4.722890194831e-07       2.389276025940e+01 
       9.523436845525e+13       8.333903468186e-26       4.867615643889e-09       1.956804387848e+22       1.375807360460e+04       1.444654259566e-10       1.310241450894e+18       2.809866361975e-09       2.263361355047e+44       2.176179809659e+33       1.218074845788e+34       5.208101542478e+43       1.736033847493e+43       1.044911902862e+44       3.829083412300e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.369675325084e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       5.510038560636e-07       2.047950879377e+01 
       9.457236192179e+13       8.450986478010e-26       4.900357453153e-09       1.929694115223e+22       1.375807360460e+04       1.454766839383e-10       1.301133516280e+18       2.829535426509e-09       2.201080945604e+44       2.131112443837e+33       1.192849253477e+34       5.064791374280e+43       1.688263791427e+43       1.016159295154e+44       3.723719378327e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.572005751236e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       6.297186926440e-07       1.791957019455e+01 
       9.391495722125e+13       8.569714387040e-26       4.934918251820e-09       1.902959438078e+22       1.375807360460e+04       1.464950207259e-10       1.292088894022e+18       2.849342174494e-09       2.140514292293e+44       2.086978395866e+33       1.168146067905e+34       4.925424640007e+43       1.641808213336e+43       9.881978665382e+43       3.621254622969e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.776213061182e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       7.084335292245e-07       1.592850683960e+01 
       9.326212236469e+13       8.690110304463e-26       4.969479050487e-09       1.876595152777e+22       1.375807360460e+04       1.475204858709e-10       1.283107144014e+18       2.869287569716e-09       2.081614238068e+44       2.043758337298e+33       1.143954470344e+34       4.789892829068e+43       1.596630943023e+43       9.610058463152e+43       3.521609367425e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.982370222360e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       7.871483658050e-07       1.433565615564e+01 
       9.261382558559e+13       8.812197664131e-26       5.004039849155e-09       1.850596127778e+22       1.375807360460e+04       1.485531292720e-10       1.274187829210e+18       2.889372582703e-09       2.024334923495e+44       2.001433339967e+33       1.120263866117e+34       4.658090416733e+43       1.552696805578e+43       9.345620628460e+43       3.424706028146e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -2.190551284254e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       8.658632023854e-07       1.303241468694e+01 
       9.197003533823e+13       8.936000229114e-26       5.040419637226e-09       1.824957302633e+22       1.375807360460e+04       1.495930011769e-10       1.265330515601e+18       2.909598190782e-09       1.968631751041e+44       1.959984867695e+33       1.097063879955e+34       4.529914781972e+43       1.509971593991e+43       9.088459270668e+43       3.330469156435e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -2.400831407659e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       9.445780389658e-07       1.194638012970e+01 
       9.133072029615e+13       9.061542096332e-26       5.074980435893e-09       1.799673687005e+22       1.375807360460e+04       1.506401521852e-10       1.256534772195e+18       2.929965378118e-09       1.914461350357e+44       1.919394768180e+33       1.074344351454e+34       4.405266127557e+43       1.468422042519e+43       8.838374164585e+43       3.238825379698e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -2.613286894488e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.023292875546e-06       1.102742781203e+01 
       9.069584935070e+13       9.188847701244e-26       5.109541234560e-09       1.774740359692e+22       1.375807360460e+04       1.516946332505e-10       1.247800170998e+18       2.950475135764e-09       1.861781544502e+44       1.879645265041e+33       1.052095330629e+34       4.284047402356e+43       1.428015800785e+43       8.595170594571e+43       3.149703344319e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -2.827995218111e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.102007712127e-06       1.023975439688e+01 
       9.006539160943e+13       9.317941822598e-26       5.145921022631e-09       1.750152467674e+22       1.375807360460e+04       1.527564956832e-10       1.239126286989e+18       2.971128461715e-09       1.810551317112e+44       1.840718950038e+33       1.030307073549e+34       4.166164225771e+43       1.388721408590e+43       8.358659202934e+43       3.063033660104e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -3.045035054253e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.180722548707e-06       9.557104103757e+00 
       8.943931639467e+13       9.448849587264e-26       5.182300810702e-09       1.725905225166e+22       1.375807360460e+04       1.538257911530e-10       1.230512698103e+18       2.991926360947e-09       1.760730780460e+44       1.802598775443e+33       1.008970038077e+34       4.051524814257e+43       1.350508271419e+43       8.128655842494e+43       2.978748846254e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -3.264486312464e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.259437385287e-06       8.959785097271e+00 
